,ticker,company
240,1733.TW,五鼎
241,1734.TW,杏輝
242,1735.TW,日勝化
243,1736.TW,喬山
244,1737.TW,臺鹽
245,1760.TW,寶齡富錦
246,1762.TW,中化生
247,1773.TW,勝一
248,1776.TW,展宇
249,1783.TW,和康生
250,1786.TW,科妍
251,1789.TW,神隆
252,1795.TW,美時
253,1802.TW,台玻
254,1805.TW,寶徠
255,1806.TW,冠軍
256,1808.TW,潤隆
257,1809.TW,中釉
258,1810.TW,和成
259,1817.TW,凱撒衛
260,1903.TW,士紙
261,1904.TW,正隆
262,1905.TW,華紙
263,1906.TW,寶隆
264,1907.TW,永豐餘
265,1909.TW,榮成
266,2002.TW,中鋼
267,2006.TW,東和鋼鐵
268,2007.TW,燁興
269,2008.TW,高興昌
270,2009.TW,第一銅
271,2010.TW,春源
272,2012.TW,春雨
273,2013.TW,中鋼構
274,2014.TW,中鴻
275,2015.TW,豐興
276,2017.TW,官田鋼
277,2020.TW,美亞
278,2022.TW,聚亨
279,2023.TW,燁輝
280,2024.TW,志聯
281,2025.TW,千興
282,2027.TW,大成鋼
283,2028.TW,威致
284,2029.TW,盛餘
285,2030.TW,彰源
286,2031.TW,新光鋼
287,2032.TW,新鋼
288,2033.TW,佳大
289,2034.TW,允強
290,2038.TW,海光
291,2049.TW,上銀
292,2059.TW,川湖
293,2062.TW,橋椿
294,2069.TW,運錩
295,2101.TW,南港
296,2102.TW,泰豐
297,2103.TW,台橡
298,2104.TW,國際中橡
299,2105.TW,正新
300,2106.TW,建大
301,2107.TW,厚生
302,2108.TW,南帝
303,2109.TW,華豐
304,2114.TW,鑫永銓
305,2115.TW,六暉-KY
306,2201.TW,裕隆
307,2204.TW,中華
308,2206.TW,三陽工業
309,2207.TW,和泰車
310,2208.TW,台船
311,2227.TW,裕日車
312,2228.TW,劍麟
313,2231.TW,為升
314,2233.TW,宇隆
315,2236.TW,百達-KY
316,2239.TW,英利-KY
317,2241.TW,艾姆勒
318,2243.TW,宏旭-KY
319,2247.TW,汎德永業
320,2301.TW,光寶科
321,2302.TW,麗正
322,2303.TW,聯電
323,2305.TW,全友
324,2308.TW,台達電
325,2312.TW,金寶
326,2313.TW,華通
327,2314.TW,台揚
328,2316.TW,楠梓電
329,2317.TW,鴻海
330,2321.TW,東訊
331,2323.TW,中環
332,2324.TW,仁寶
333,2327.TW,國巨
334,2328.TW,廣宇
335,2329.TW,華泰
336,2330.TW,台積電
337,2331.TW,精英
338,2332.TW,友訊
339,2337.TW,旺宏
340,2338.TW,光罩
341,2340.TW,光磊
342,2342.TW,茂矽
343,2344.TW,華邦電
344,2345.TW,智邦
345,2347.TW,聯強
346,2348.TW,海悅
347,2349.TW,錸德
348,2351.TW,順德
349,2352.TW,佳世達
350,2353.TW,宏碁
351,2354.TW,鴻準
352,2355.TW,敬鵬
353,2356.TW,英業達
354,2357.TW,華碩
355,2358.TW,廷鑫
356,2359.TW,所羅門
357,2360.TW,致茂
358,2362.TW,藍天
359,2363.TW,矽統
360,2364.TW,倫飛
361,2365.TW,昆盈
362,2367.TW,燿華
363,2368.TW,金像電
364,2369.TW,菱生
365,2371.TW,大同
366,2373.TW,震旦行
367,2374.TW,佳能
368,2375.TW,凱美
369,2376.TW,技嘉
370,2377.TW,微星
371,2379.TW,瑞昱
372,2380.TW,虹光
373,2382.TW,廣達
374,2383.TW,台光電
375,2385.TW,群光
376,2387.TW,精元
377,2388.TW,威盛
378,2390.TW,云辰
379,2392.TW,正崴
380,2393.TW,億光
381,2395.TW,研華
382,2397.TW,友通
383,2399.TW,映泰
384,2401.TW,凌陽
385,2402.TW,毅嘉
386,2404.TW,漢唐
387,2405.TW,浩鑫
388,2406.TW,國碩
389,2408.TW,南亞科
390,2409.TW,友達
391,2412.TW,中華電
392,2413.TW,環科
393,2414.TW,精技
394,2415.TW,錩新
395,2417.TW,圓剛
396,2419.TW,仲琦
397,2420.TW,新巨
398,2421.TW,建準
399,2423.TW,固緯
400,2424.TW,隴華
401,2425.TW,承啟
402,2426.TW,鼎元
403,2427.TW,三商電
404,2428.TW,興勤
405,2429.TW,銘旺科
406,2430.TW,燦坤
407,2431.TW,聯昌
408,2433.TW,互盛電
409,2434.TW,統懋
410,2436.TW,偉詮電
411,2438.TW,翔耀
412,2439.TW,美律
413,2440.TW,太空梭
414,2441.TW,超豐
415,2442.TW,新美齊
416,2443.TW,億麗
417,2444.TW,兆勁
418,2449.TW,京元電子
419,2450.TW,神腦
420,2451.TW,創見
421,2453.TW,凌群
422,2454.TW,聯發科
423,2455.TW,全新
424,2456.TW,奇力新
425,2457.TW,飛宏
426,2458.TW,義隆
427,2459.TW,敦吉
428,2460.TW,建通
429,2461.TW,光群雷
430,2462.TW,良得電
431,2464.TW,盟立
432,2465.TW,麗臺
433,2466.TW,冠西電
434,2467.TW,志聖
435,2468.TW,華經
436,2471.TW,資通
437,2472.TW,立隆電
438,2474.TW,可成
439,2476.TW,鉅祥
440,2477.TW,美隆電
441,2478.TW,大毅
442,2480.TW,敦陽科
443,2481.TW,強茂
444,2482.TW,連宇
445,2483.TW,百容
446,2484.TW,希華
447,2485.TW,兆赫
448,2486.TW,一詮
449,2488.TW,漢平
450,2489.TW,瑞軒
451,2491.TW,吉祥全
452,2492.TW,華新科
453,2493.TW,揚博
454,2495.TW,普安
455,2496.TW,卓越
456,2497.TW,怡利電
457,2498.TW,宏達電
458,2501.TW,國建
459,2504.TW,國產
460,2505.TW,國揚
461,2506.TW,太設
462,2509.TW,全坤建
463,2511.TW,太子
464,2514.TW,龍邦
465,2515.TW,中工
466,2516.TW,新建
467,2520.TW,冠德
468,2524.TW,京城
469,2527.TW,宏璟
470,2528.TW,皇普
471,2530.TW,華建
472,2534.TW,宏盛
473,2535.TW,達欣工
474,2536.TW,宏普
475,2537.TW,聯上發
476,2538.TW,基泰
477,2539.TW,櫻花建
478,2540.TW,愛山林
479,2542.TW,興富發
480,2543.TW,皇昌
481,2545.TW,皇翔
482,2546.TW,根基
483,2547.TW,日勝生
484,2548.TW,華固
485,2597.TW,潤弘
486,2601.TW,益航
487,2603.TW,長榮
488,2605.TW,新興
489,2606.TW,裕民
490,2607.TW,榮運
491,2608.TW,嘉里大榮
492,2609.TW,陽明
493,2610.TW,華航
494,2611.TW,志信
495,2612.TW,中航
496,2613.TW,中櫃
497,2614.TW,東森
498,2615.TW,萬海
499,2616.TW,山隆
500,2617.TW,台航
501,2618.TW,長榮航
502,2630.TW,亞航
503,2633.TW,台灣高鐵
504,2634.TW,漢翔
505,2636.TW,台驊投控
506,2637.TW,慧洋-KY
507,2642.TW,宅配通
508,2701.TW,萬企
509,2702.TW,華園
510,2704.TW,國賓
511,2705.TW,六福
512,2706.TW,第一店
513,2707.TW,晶華
514,2712.TW,遠雄來
515,2722.TW,夏都
516,2723.TW,美食-KY
517,2727.TW,王品
518,2731.TW,雄獅
519,2739.TW,寒舍
520,2748.TW,雲品
521,2801.TW,彰銀
522,2809.TW,京城銀
523,2812.TW,台中銀
524,2816.TW,旺旺保
525,2820.TW,華票
526,2823.TW,中壽
527,2832.TW,台產
528,2834.TW,臺企銀
529,2836.TW,高雄銀
530,2838.TW,聯邦銀
531,2841.TW,台開
532,2845.TW,遠東銀
533,2849.TW,安泰銀
534,2850.TW,新產
535,2851.TW,中再保
536,2852.TW,第一保
537,2855.TW,統一證
538,2867.TW,三商壽
539,2880.TW,華南金
540,2881.TW,富邦金
541,2882.TW,國泰金
542,2883.TW,開發金
543,2884.TW,玉山金
544,2885.TW,元大金
545,2886.TW,兆豐金
546,2887.TW,台新金
547,2888.TW,新光金
548,2889.TW,國票金
549,2890.TW,永豐金
550,2891.TW,中信金
551,2892.TW,第一金
552,2897.TW,王道銀行
553,2901.TW,欣欣
